
ID,  Milk,ChildBby,Vegges,Cereal, Bread,  Rice,  Meat,  Eggs,YogChs, Chips,  Soda, Fruit,  Corn,  Fish, Sauce, Beans,Tortya,  Salt,Scented, Salza
 1,     7,     4,    10,     4,     0,     7,     4,     5,     8,     5,     4,     5,     5,     5,     1,     6,     6,     3,     2,     2
 2,     4,     6,     9,     6,     0,     9,     1,     6,     8,     2,     1,     5,     3,     1,     1,     5,     5,     5,     0,     3
 3,     3,     3,     3,     7,     5,     5,     9,     3,     0,    10,     6,     6,     9,     4,     8,     3,     7,     5,     5,     5
 4,     1,     1,     2,    10,     3,     6,     8,     2,     1,     7,     9,     4,     9,     4,     7,     3,     8,     4,     8,     3
 5,     2,     4,     4,     8,     3,     5,     9,     3,     0,     9,     9,     7,     8,     3,     6,     5,     7,     1,     3,     3
 6,     6,     5,     7,     5,     0,     4,     5,     5,     6,     3,     1,     6,     5,     2,     5,     7,     8,     2,     0,     2
 7,     4,     3,     6,     8,     8,     6,     7,     6,     6,     6,     2,     4,     3,     8,     3,     4,     7,     4,     5,     2
 8,     4,     5,     9,     5,     0,     9,     5,     4,     6,     3,     1,     4,     3,     1,     3,     9,     8,     4,     0,     5
 9,     5,     3,     5,     7,     7,     8,     5,     8,     4,     8,     0,     5,     4,     7,     3,     8,     8,     4,     5,     1
10,    10,     6,     8,     8,     9,     6,     9,     6,     4,     3,     2,     7,     4,     2,     3,     5,     0,     5,     7,     2
11,     9,     8,     5,     8,     8,     6,     7,     6,     5,     3,     0,     6,     0,     2,     4,     5,     3,     4,     4,     4
12,    10,     7,     9,     7,     9,     7,     7,     6,     6,     1,     2,     4,     2,     0,     2,     1,     1,     5,     6,     5
13,     4,     2,     5,     9,     5,     7,     8,     5,     4,     5,     0,     9,     0,     5,     1,     8,     7,     4,     4,     4
14,     4,     6,     8,     7,     1,    10,     6,     4,     9,     3,     0,     7,     6,     1,     4,     6,     7,     5,     0,     3
15,     7,     1,     6,     9,     7,     7,     7,     4,     7,     9,     2,     5,     7,     6,     3,     6,     8,     4,     4,     3
16,     8,     9,     7,     7,     8,     8,     7,     3,     3,     3,     1,     5,     4,     1,     1,     8,     2,     3,     4,     0
17,     5,     5,     8,     8,     0,     9,     6,     8,     8,     1,     0,     6,     1,     2,     3,     5,     7,     5,     0,     3
18,     9,     4,     9,     9,     7,     9,     7,     4,     5,     1,     1,     6,     4,     4,     5,     3,     0,     4,     6,     3
19,     7,     7,     7,     7,     0,     6,     6,     2,     7,     3,     0,     6,     4,     4,     1,     4,     7,     5,     0,     3
20,     2,     1,     3,     9,     3,     6,     8,     5,     0,     9,     8,     8,     9,     3,     7,     7,     6,     4,     5,     5
21,     4,     1,     0,    10,     1,     6,     7,     3,     2,    10,     7,     7,     7,     3,     6,     7,     7,     6,     8,     5
22,    10,     8,     5,     7,     9,     7,    10,     6,     6,     1,     2,     5,     4,     2,     1,     6,     1,     4,     5,     0
23,     6,     6,     8,     5,     0,     8,     7,     3,     9,     2,     0,     5,     2,     3,     3,     4,     9,     2,     0,     0
24,     4,     5,     9,     8,     0,    10,     3,     4,    10,     0,     0,     7,     1,     4,     2,     5,     7,     6,     0,     4
25,     4,     3,     7,     9,     3,     8,     6,     7,     6,    10,     2,     5,     5,     7,     4,     3,     7,     5,     4,     2
