Age,Ht,TailLn,HairLn,BangLn,Reach,EarLobes,ClassName,ClassID
52.9,143.6,6.8,9.8,3.1,146.1,0,Assam,-1
43.3,122.9,14.5,5.2,4.6,125.4,0,Assam,-1
46.1,154.1,4.1,10.8,5.0,157.6,1,Bhuttan,+1
48.7,143.0,17.2,7.7,5.1,145.5,0,Assam,-1
50.0,144.0,13.4,9.6,3.1,146.5,0,Assam,-1
36.6,137.7,12.9,8.2,4.9,141.2,1,Bhuttan,+1
56.4,152.1,12.5,9.8,6.5,155.6,1,Bhuttan,+1
42.3,133.3,9.7,12.4,4.7,138.5,1,Bhuttan,+1
52.3,152.4,12.6,9.2,4.3,156.7,0,Assam,-1
41.0,134.5,4.6,9.6,5.7,138.1,1,Bhuttan,+1
41.4,119.8,10.3,10.1,6.4,127.9,1,Bhuttan,+1
43.5,156.6,4.1,8.2,6.3,164.5,1,Bhuttan,+1
46.5,171.1,7.7,11.0,7.0,174.8,1,Bhuttan,+1
58.2,143.1,0.1,10.1,5.9,146.6,1,Bhuttan,+1
45.0,147.4,12.6,9.1,4.4,149.9,0,Assam,-1
23.7,133.8,8.8,12.0,4.8,139.5,1,Bhuttan,+1
47.2,157.1,18.8,4.7,5.9,159.6,0,Assam,-1
46.8,149.2,5.4,10.6,5.8,151.7,0,Assam,-1
34.5,131.8,12.2,9.1,4.8,135.9,1,Bhuttan,+1
37.4,157.6,25.1,8.2,2.9,161.6,0,Assam,-1
36.4,150.4,7.5,8.7,4.8,152.9,0,Assam,-1
63.1,153.3,16.2,13.1,5.3,159.5,0,Bhuttan,+1
31.2,164.0,26.9,8.5,5.3,166.5,0,Assam,-1
45.0,147.7,2.8,12.6,5.0,151.2,1,Bhuttan,+1
42.9,151.8,14.1,12.2,6.2,154.3,0,Assam,-1
59.6,145.3,16.8,7.4,3.9,147.8,0,Assam,-1
49.7,145.6,2.3,8.1,5.2,149.1,1,Bhuttan,+1
55.0,154.9,20.2,9.8,8.2,158.4,1,Bhuttan,+1
47.1,150.2,0.4,10.8,6.0,154.0,1,Bhuttan,+1
16.5,163.4,15.8,8.9,3.8,165.9,1,Assam,-1
54.2,141.2,17.5,9.7,5.1,143.9,0,Assam,-1
28.1,139.1,10.0,9.8,6.0,141.8,0,Assam,-1
45.2,141.7,13.6,9.9,6.1,144.2,0,Assam,-1
48.2,150.9,8.1,7.4,6.7,154.4,1,Assam,-1
56.9,130.7,2.4,10.1,5.8,136.4,1,Bhuttan,+1
35.4,140.9,6.2,5.9,5.6,146.0,0,Assam,-1
35.5,137.6,15.5,7.1,5.5,140.1,0,Assam,-1
47.8,150.4,7.2,6.9,4.5,153.5,0,Assam,-1
41.9,141.8,7.7,13.5,6.6,145.3,1,Bhuttan,+1
45.1,161.6,11.7,7.9,7.7,164.1,0,Assam,-1
40.5,138.0,14.7,6.4,6.0,141.5,1,Bhuttan,+1
42.1,149.4,15.1,6.9,6.6,151.9,0,Assam,-1
36.8,141.2,12.3,10.6,5.9,148.1,1,Bhuttan,+1
45.5,148.4,9.1,6.1,4.6,150.9,0,Assam,-1
60.1,158.9,8.2,7.8,4.9,161.4,0,Assam,-1
45.5,119.1,6.2,10.1,5.6,124.2,0,Bhuttan,+1
34.3,160.4,13.3,8.7,5.5,162.9,0,Assam,-1
54.5,136.8,10.4,8.4,5.3,139.3,0,Assam,-1
60.0,149.9,7.3,9.3,6.8,153.4,1,Bhuttan,+1
53.8,140.1,12.8,7.8,4.3,142.6,0,Assam,-1
31.4,138.6,12.6,8.2,4.3,143.1,1,Bhuttan,+1
25.5,119.7,10.2,6.8,6.5,127.1,1,Bhuttan,+1
28.7,145.9,3.7,6.6,4.3,148.4,0,Assam,-1
49.5,136.6,14.0,10.3,4.7,139.1,0,Assam,-1
49.7,136.0,15.3,4.8,4.5,138.8,0,Assam,-1
49.1,171.3,7.4,5.8,4.9,173.8,0,Assam,-1
53.9,162.6,-6.9,10.9,6.0,166.1,1,Bhuttan,+1
33.5,125.2,13.6,7.2,5.1,127.7,0,Assam,-1
35.5,143.3,9.6,8.9,5.3,146.8,1,Bhuttan,+1
55.0,138.2,9.1,6.0,4.2,140.7,0,Assam,-1
49.4,142.5,14.3,7.0,6.5,145.0,0,Assam,-1
62.3,131.4,12.1,9.9,4.8,133.9,0,Assam,-1
57.8,143.3,17.1,8.6,4.4,145.8,1,Assam,-1
25.5,151.7,13.7,5.9,4.7,155.6,1,Bhuttan,+1
29.1,150.4,-1.1,8.4,4.8,152.9,0,Assam,-1
51.7,158.6,22.0,11.5,7.3,162.1,1,Bhuttan,+1
53.7,145.9,8.3,10.0,4.9,148.4,0,Assam,-1
38.8,153.9,12.8,11.3,5.0,159.2,1,Bhuttan,+1
47.6,145.7,17.6,9.6,3.3,148.2,0,Assam,-1
43.6,135.9,11.3,8.2,7.5,139.4,1,Bhuttan,+1
61.7,144.8,13.6,7.8,6.2,147.3,0,Assam,-1
56.2,149.8,11.5,8.5,5.9,153.3,1,Bhuttan,+1
60.3,130.0,15.8,8.9,6.7,132.5,0,Assam,-1
34.5,144.9,14.1,6.7,5.8,151.7,1,Bhuttan,+1
37.7,150.0,7.7,11.3,5.2,153.5,1,Bhuttan,+1
31.1,114.2,8.5,6.1,5.8,121.4,1,Bhuttan,+1
42.3,142.9,2.6,11.5,6.2,146.4,1,Bhuttan,+1
34.5,155.0,12.7,8.5,5.2,157.5,0,Assam,-1
36.1,150.7,13.2,11.0,5.4,154.2,1,Bhuttan,+1
50.0,140.0,13.6,10.3,3.4,142.5,0,Assam,-1
43.8,150.9,-1.0,9.2,5.7,154.4,1,Bhuttan,+1
37.0,146.1,17.1,9.1,6.3,149.7,0,Assam,-1
47.8,149.4,3.1,10.0,4.7,152.9,1,Bhuttan,+1
36.4,134.4,4.8,6.6,8.5,137.9,1,Bhuttan,+1
39.4,139.0,14.3,7.0,5.7,142.5,1,Bhuttan,+1
38.4,143.7,1.3,7.9,7.2,146.2,0,Assam,-1
47.3,141.7,12.9,10.9,5.0,145.2,1,Bhuttan,+1
46.6,137.9,18.1,6.8,5.7,140.4,1,Assam,-1
36.0,144.4,16.0,8.2,3.7,146.9,0,Assam,-1
64.5,147.6,17.4,8.6,4.1,150.1,0,Assam,-1
46.5,155.1,16.0,7.9,4.7,157.6,0,Assam,-1
53.2,147.5,12.7,12.9,5.9,151.0,1,Bhuttan,+1
40.3,146.0,13.6,7.7,4.2,148.5,0,Assam,-1
25.7,136.2,11.4,5.7,6.8,139.7,0,Bhuttan,+1
42.6,155.0,10.8,9.7,7.1,162.8,1,Bhuttan,+1
32.1,139.3,4.9,11.0,7.8,143.0,1,Bhuttan,+1
44.3,134.4,1.3,9.2,5.7,141.3,0,Bhuttan,+1
33.7,113.0,8.3,10.1,7.2,119.1,1,Bhuttan,+1
43.1,143.2,10.7,7.4,4.3,145.7,0,Assam,-1
61.3,154.3,10.8,10.0,5.5,157.8,1,Bhuttan,+1
64.6,146.6,14.1,6.8,4.2,150.1,0,Assam,-1
42.7,155.9,9.5,10.2,7.8,160.5,1,Bhuttan,+1
37.7,151.6,12.9,6.0,5.1,154.1,0,Assam,-1
32.1,129.0,4.8,11.5,7.1,134.9,0,Bhuttan,+1
32.8,123.7,2.0,8.9,7.0,130.4,0,Bhuttan,+1
45.0,134.7,-0.7,8.1,6.4,139.1,1,Bhuttan,+1
51.5,145.5,14.7,9.8,6.1,150.1,1,Bhuttan,+1
46.9,144.1,12.8,9.3,6.5,150.6,1,Bhuttan,+1
39.0,146.8,16.3,10.3,6.7,152.3,1,Bhuttan,+1
40.9,150.5,25.2,12.0,5.2,156.7,1,Bhuttan,+1
28.0,153.7,19.7,4.8,4.9,159.7,0,Bhuttan,+1
46.2,139.7,13.2,9.9,5.9,144.1,1,Bhuttan,+1
40.0,147.1,9.9,6.7,4.0,150.6,1,Bhuttan,+1
54.7,157.2,6.3,7.3,4.8,159.7,0,Assam,-1
56.3,144.5,10.5,8.3,5.3,147.0,0,Assam,-1
55.6,147.6,7.1,8.3,7.6,150.1,0,Assam,-1
47.6,141.6,9.2,7.7,6.2,144.7,0,Assam,-1
51.0,149.7,10.1,9.9,8.4,155.5,1,Bhuttan,+1
49.0,157.2,9.6,6.6,6.2,160.3,0,Assam,-1
47.4,151.3,0.6,9.1,6.7,154.8,1,Bhuttan,+1
43.3,155.9,16.3,12.0,5.8,159.9,1,Bhuttan,+1
59.9,144.2,12.9,7.8,4.4,146.7,0,Assam,-1
59.9,148.4,8.7,11.0,6.4,151.9,1,Bhuttan,+1
46.8,134.7,7.3,10.0,6.5,140.3,1,Bhuttan,+1
51.2,122.7,15.2,8.0,5.6,125.2,1,Assam,-1
37.0,123.1,5.0,14.4,5.4,132.0,1,Bhuttan,+1
18.7,148.4,8.7,7.2,6.2,151.9,1,Bhuttan,+1
41.0,143.4,-2.5,8.0,3.9,146.9,1,Bhuttan,+1
41.9,165.3,8.1,9.4,4.5,167.8,0,Assam,-1
52.8,150.2,12.8,9.4,5.9,155.5,1,Bhuttan,+1
51.1,132.1,12.0,8.6,5.6,134.6,1,Assam,-1
38.8,142.2,2.2,9.4,7.1,145.7,1,Bhuttan,+1
14.8,159.6,6.2,7.5,4.3,162.1,0,Assam,-1
58.4,154.3,18.4,8.3,4.7,156.8,0,Assam,-1
27.0,133.8,6.1,8.8,5.2,143.4,0,Bhuttan,+1
46.6,137.4,9.8,9.0,6.2,143.3,1,Bhuttan,+1
59.2,143.7,13.9,8.0,4.2,146.2,0,Assam,-1
41.9,155.2,2.9,11.0,6.3,159.8,1,Bhuttan,+1
28.4,137.7,15.5,11.2,5.6,141.2,0,Bhuttan,+1
44.5,155.1,12.1,8.3,7.8,161.4,1,Bhuttan,+1
51.0,144.5,16.6,6.7,6.3,151.1,1,Bhuttan,+1
44.7,144.1,9.5,10.0,6.1,146.6,0,Assam,-1
64.3,155.9,16.9,8.3,4.7,158.4,0,Assam,-1
33.6,145.7,21.4,13.6,5.5,151.3,1,Bhuttan,+1
41.6,150.9,6.4,9.7,6.2,154.5,1,Bhuttan,+1
50.1,148.6,13.0,10.9,6.1,155.9,1,Bhuttan,+1
32.1,142.7,12.2,8.2,3.9,148.8,1,Bhuttan,+1
66.7,149.1,15.8,7.6,4.6,151.6,0,Assam,-1
34.1,128.7,4.8,5.3,5.4,134.6,1,Bhuttan,+1
49.5,146.1,12.8,9.8,5.6,148.6,0,Assam,-1
61.1,141.9,15.7,8.5,6.1,144.4,0,Assam,-1
28.5,163.8,12.9,6.6,5.0,166.3,0,Assam,-1
42.7,136.9,8.3,10.6,5.5,140.4,1,Bhuttan,+1
39.9,144.2,13.0,8.5,7.2,149.7,1,Bhuttan,+1
45.0,146.2,12.0,8.2,5.3,148.7,0,Assam,-1
45.0,138.8,12.6,7.5,4.6,141.3,0,Assam,-1
40.6,141.9,14.3,12.6,6.4,145.5,1,Bhuttan,+1
32.0,143.4,14.5,7.9,7.4,145.9,0,Assam,-1
62.3,140.0,12.7,8.9,5.2,142.9,0,Assam,-1
38.3,148.7,9.4,12.4,4.6,152.2,1,Bhuttan,+1
45.8,139.1,5.3,8.8,3.3,141.6,1,Assam,-1
40.6,138.6,10.8,7.7,4.9,143.0,1,Bhuttan,+1
24.4,133.4,11.2,8.6,5.2,135.9,0,Assam,-1
53.7,149.9,17.7,13.2,6.6,154.9,1,Bhuttan,+1
32.4,150.0,8.7,10.2,6.7,154.0,1,Bhuttan,+1
50.8,149.7,13.3,11.3,6.8,155.7,1,Bhuttan,+1
39.6,157.2,13.9,7.8,5.0,160.8,1,Bhuttan,+1
55.0,155.7,10.6,6.5,6.5,160.4,1,Bhuttan,+1
40.1,138.3,2.1,10.4,5.4,140.9,0,Assam,-1
39.0,130.7,12.6,7.1,3.4,133.2,0,Assam,-1
31.9,133.9,6.5,10.9,5.9,139.4,1,Bhuttan,+1
48.1,148.2,7.4,14.1,6.7,151.9,1,Bhuttan,+1
39.9,149.3,11.1,9.6,4.3,155.4,1,Bhuttan,+1
34.8,145.7,7.5,5.3,5.2,148.2,0,Assam,-1
48.9,139.7,7.4,7.2,4.8,142.2,0,Assam,-1
36.2,132.1,7.4,9.9,7.1,137.9,0,Bhuttan,+1
47.4,167.0,8.3,7.5,3.7,169.8,0,Assam,-1
51.8,139.2,22.4,9.2,7.1,144.6,0,Bhuttan,+1
54.4,138.9,4.4,6.4,5.9,141.4,0,Assam,-1
63.8,155.2,10.0,10.3,4.4,158.7,1,Bhuttan,+1
25.8,148.5,1.9,12.4,6.7,152.0,1,Bhuttan,+1
45.1,139.4,17.8,8.2,4.0,141.9,0,Assam,-1
53.9,152.0,7.3,8.2,6.9,155.5,1,Bhuttan,+1
42.5,127.1,9.7,9.7,4.3,130.0,0,Assam,-1
36.5,127.2,9.2,9.4,6.1,131.3,0,Bhuttan,+1
35.4,141.5,15.5,8.3,4.2,144.9,1,Assam,-1
52.0,159.4,11.9,10.7,4.7,164.4,1,Bhuttan,+1
45.7,158.8,9.2,6.8,5.9,161.3,0,Assam,-1
54.4,160.2,3.4,11.4,5.6,163.7,1,Bhuttan,+1
36.1,145.4,6.7,9.8,6.7,148.9,1,Bhuttan,+1
51.6,143.9,11.9,8.0,4.7,146.6,0,Assam,-1
31.6,142.0,8.8,10.4,5.6,145.5,1,Bhuttan,+1
52.5,156.6,16.8,7.3,6.0,162.8,1,Bhuttan,+1
33.6,149.1,13.7,8.0,6.4,151.6,0,Assam,-1
53.4,143.4,16.1,7.9,5.9,145.9,0,Assam,-1
49.9,148.2,0.7,8.8,6.5,151.7,1,Bhuttan,+1
48.7,154.0,16.1,6.8,4.3,156.5,0,Assam,-1
51.5,144.1,9.9,6.0,5.4,147.5,0,Assam,-1
54.3,139.6,5.9,11.5,5.4,143.4,1,Bhuttan,+1
44.1,158.0,21.7,9.5,5.8,161.9,1,Bhuttan,+1
50.2,141.6,13.5,6.8,5.0,144.1,0,Assam,-1
39.0,163.1,9.9,8.6,4.4,165.9,0,Assam,-1
53.6,134.8,9.3,10.8,7.3,140.2,0,Bhuttan,+1
26.6,132.1,9.1,9.6,6.3,136.8,0,Bhuttan,+1
57.0,149.2,12.8,11.9,4.8,155.7,1,Bhuttan,+1
54.2,147.8,8.5,13.1,5.6,154.6,1,Bhuttan,+1
48.1,152.2,3.1,11.3,5.7,156.5,1,Bhuttan,+1
51.1,138.4,5.9,10.7,6.8,140.9,0,Assam,-1
52.9,133.8,12.8,10.5,6.5,137.3,1,Bhuttan,+1
57.4,163.2,11.4,8.1,6.1,166.7,1,Bhuttan,+1
39.3,153.1,5.5,6.9,6.8,156.9,1,Bhuttan,+1
48.9,133.7,12.5,10.3,6.5,139.1,1,Bhuttan,+1
47.7,153.2,5.0,10.6,5.4,155.7,0,Assam,-1
51.8,132.3,6.3,8.3,7.5,138.4,0,Bhuttan,+1
59.9,157.1,13.1,12.2,6.2,162.3,0,Assam,-1
45.6,150.6,0.9,8.9,5.8,154.1,1,Bhuttan,+1
53.4,162.7,15.4,8.0,5.2,165.2,1,Assam,-1
60.5,163.4,9.1,6.8,6.0,167.8,1,Bhuttan,+1
39.9,149.4,9.9,7.8,3.2,153.2,1,Assam,-1
34.6,143.0,10.9,10.8,6.8,148.5,1,Bhuttan,+1
46.9,139.5,16.7,12.8,5.5,144.9,0,Bhuttan,+1
49.8,160.5,16.1,9.8,1.9,163.0,0,Assam,-1
52.3,133.7,12.6,8.2,2.6,137.9,0,Assam,-1
60.9,152.4,16.9,8.5,3.5,154.9,0,Assam,-1
42.8,150.2,13.5,7.4,4.5,154.1,0,Assam,-1
44.4,156.0,5.3,14.5,7.8,159.5,1,Bhuttan,+1
55.8,154.6,10.0,7.8,4.1,157.4,0,Assam,-1
54.6,147.7,10.5,6.9,7.5,151.3,0,Bhuttan,+1
48.2,158.6,21.4,8.3,6.4,162.1,0,Bhuttan,+1
43.5,138.9,7.0,10.4,5.1,142.4,1,Bhuttan,+1
52.2,152.3,4.9,9.7,3.1,154.8,0,Assam,-1
63.5,130.9,10.3,7.5,5.5,133.4,0,Assam,-1
47.5,132.5,14.0,8.3,6.6,135.0,0,Assam,-1
58.8,128.6,10.8,5.8,5.1,131.1,0,Assam,-1
40.3,152.4,16.3,7.6,4.7,154.9,0,Assam,-1
64.7,135.5,8.4,7.1,3.5,138.7,0,Assam,-1
52.7,153.0,16.2,8.2,5.0,156.5,1,Bhuttan,+1
59.5,139.8,3.7,9.2,7.1,143.8,0,Assam,-1
27.1,132.4,8.7,8.4,5.5,141.3,1,Bhuttan,+1
47.9,146.0,21.6,9.2,4.8,149.5,1,Bhuttan,+1
53.3,145.3,12.5,7.2,6.4,147.8,0,Assam,-1
51.0,156.4,15.4,7.0,5.9,162.5,1,Bhuttan,+1
33.3,125.0,6.3,12.7,7.8,131.0,0,Bhuttan,+1
50.0,152.4,10.4,6.9,6.8,155.9,0,Bhuttan,+1
56.5,160.4,2.7,6.9,3.3,162.9,1,Assam,-1
28.1,131.0,10.4,6.7,3.6,133.5,0,Assam,-1
43.1,139.0,12.3,12.2,6.0,143.5,1,Bhuttan,+1
24.9,131.2,8.9,11.3,4.7,136.7,1,Bhuttan,+1
56.5,143.4,14.4,9.2,7.4,149.0,1,Bhuttan,+1
47.1,155.6,11.1,8.9,3.8,158.1,0,Assam,-1
34.7,153.4,11.8,6.1,4.2,155.9,0,Assam,-1
54.7,150.4,13.8,8.3,4.8,154.7,1,Bhuttan,+1
46.3,139.9,12.3,6.9,5.1,142.4,0,Assam,-1
58.3,131.4,10.7,8.8,5.9,133.9,0,Assam,-1
39.6,146.7,13.5,10.1,6.3,149.4,0,Assam,-1
55.7,169.0,15.0,8.4,4.4,171.5,0,Assam,-1
47.9,158.8,5.8,9.9,7.1,166.3,0,Bhuttan,+1
52.0,165.2,12.2,8.4,4.8,167.7,0,Assam,-1
42.8,145.7,8.4,9.5,4.9,149.2,1,Bhuttan,+1
40.2,152.4,10.2,9.5,4.1,154.9,0,Assam,-1
50.6,142.9,18.9,6.7,5.2,145.4,0,Assam,-1
37.6,125.4,7.7,7.6,5.6,127.9,0,Assam,-1
43.7,142.7,10.1,7.5,6.7,145.2,0,Assam,-1
48.8,135.1,6.8,9.7,6.6,138.6,0,Bhuttan,+1
46.0,146.1,3.2,6.5,5.2,151.9,1,Bhuttan,+1
43.9,139.6,15.0,11.6,7.1,143.1,1,Bhuttan,+1
28.7,129.2,2.5,11.9,6.1,136.4,1,Bhuttan,+1
37.9,161.8,-0.5,11.5,5.4,165.3,1,Bhuttan,+1
57.5,171.1,9.5,11.5,6.1,175.1,1,Bhuttan,+1
48.3,147.7,13.8,8.5,5.4,150.2,0,Assam,-1
59.7,164.5,11.3,4.6,3.9,167.0,0,Assam,-1
44.6,157.6,18.1,9.1,5.1,160.1,1,Assam,-1
45.2,136.8,17.2,9.8,4.0,139.3,0,Assam,-1
39.4,139.8,8.1,9.4,4.9,142.3,0,Assam,-1
49.3,137.3,10.3,7.7,6.2,140.8,0,Bhuttan,+1
46.1,148.9,8.8,11.2,6.9,152.4,1,Bhuttan,+1
49.5,145.3,21.4,10.1,5.1,148.8,1,Bhuttan,+1
28.9,146.4,17.3,6.6,5.3,148.9,0,Assam,-1
26.9,150.4,5.9,9.5,5.3,156.6,1,Bhuttan,+1
52.5,152.1,12.4,12.4,7.1,157.1,1,Bhuttan,+1
31.0,160.8,11.7,4.2,7.2,163.3,0,Assam,-1
52.2,155.4,16.9,9.9,6.6,157.9,0,Assam,-1
59.7,132.6,8.3,7.0,5.3,135.1,1,Assam,-1
50.2,144.0,19.2,7.5,4.3,148.0,0,Assam,-1
51.2,149.9,4.6,7.8,6.8,152.4,0,Assam,-1
43.6,141.7,3.8,8.1,7.3,144.2,0,Assam,-1
32.2,158.6,10.4,9.1,5.1,161.1,0,Assam,-1
44.2,136.7,12.4,9.8,8.3,141.6,1,Bhuttan,+1
23.5,126.3,8.6,11.2,6.3,133.5,0,Bhuttan,+1
56.0,148.7,12.2,11.0,4.9,152.2,1,Bhuttan,+1
45.3,160.2,2.9,14.3,5.4,165.3,1,Bhuttan,+1
38.8,143.3,12.0,9.7,5.7,146.8,1,Bhuttan,+1
23.0,160.4,8.9,10.1,6.5,163.9,1,Bhuttan,+1
52.5,150.6,4.2,6.8,3.4,153.1,0,Assam,-1
57.8,151.7,4.7,9.0,4.7,155.5,1,Bhuttan,+1
29.5,149.9,17.2,8.5,6.0,152.5,0,Assam,-1
51.5,151.5,17.9,11.8,4.7,156.5,0,Bhuttan,+1
32.6,145.1,6.3,6.0,4.2,148.8,0,Assam,-1
51.3,147.6,6.9,8.7,4.7,151.1,1,Bhuttan,+1
52.1,158.6,8.6,8.1,5.3,161.1,0,Assam,-1
34.7,128.7,11.3,9.4,4.7,131.6,0,Assam,-1
47.1,139.8,16.8,10.3,5.6,142.3,1,Assam,-1
48.6,161.3,14.5,7.6,5.4,163.8,0,Assam,-1
65.1,128.9,7.4,10.1,6.4,134.8,1,Bhuttan,+1
47.5,150.0,12.9,7.5,5.3,152.5,0,Assam,-1
52.5,145.4,-5.5,13.5,5.5,152.0,1,Bhuttan,+1
58.8,152.5,17.0,9.9,6.5,156.0,1,Bhuttan,+1
48.7,157.7,12.6,6.5,4.8,160.6,0,Assam,-1
44.4,147.0,9.0,11.0,6.9,150.5,1,Bhuttan,+1
56.4,145.8,9.7,10.5,2.9,148.3,0,Assam,-1
60.4,141.0,14.0,6.6,6.5,144.5,1,Bhuttan,+1
